0	0	0
0.53767	1.8339	-2.2588
1.3998	2.1527	-3.5665
0.96625	2.4953	0.011862
3.7357	1.1454	3.0468
4.4611	1.0823	3.7615
4.2561	0.95819	5.2512
5.6652	2.3754	5.9227
4.4577	3.0926	7.553
4.9466	4.1273	8.2798
4.6431	4.4212	7.4926
5.5315	3.2741	6.4237
4.722	0.32983	7.8621
5.0472	-0.4251	9.2324
3.3357	-0.52734	8.9909
3.6549	-0.21448	8.126
3.6249	-0.37936	8.7537
4.7181	0.72991	7.8901
4.7955	-0.48421	6.7766
4.7886	1.0484	6.0069
5.16	0.82284	7.1243
4.0709	0.8554	7.6768
5.1716	2.3996	7.7627
3.68	1.6573	6.7012
6.0304	1.0417	7.4492
5.838	1.9303	6.6844
4.4357	0.50794	7.1726
4.2584	0.31189	8.5919
4.5499	0.5097	10.18
3.7455	1.2063	11.015
3.5018	1.422	9.8488
2.3538	1.5269	10.571
4.9393	0.85998	10.758
4.8568	-1.073	10.319
3.0621	-0.23267	9.4314
3.1622	-0.7772	9.7349
2.5619	-0.28723	10.474
4.2738	-0.48136	8.336
3.4342	0.87324	7.2638
4.3951	0.99729	8.7005
2.4342	0.79959	7.4926
5.3423	1.6248	8.8716
4.2841	1.1562	8.5992
5.3825	0.87832	9.3007
3.3307	0.52447	8.4771
1.7536	1.0324	8.7591
1.7871	-0.30123	9.8866
2.1373	-0.6003	9.9095
1.8753	-2.3505	9.6238
1.0439	-3.3297	8.4674
0.51036	-5.3324	9.4316
1.0304	-5.3524	9.3969
0.23226	-4.3337	9.2637
-0.48227	-2.9823	9.0389
-1.0713	-3.2761	8.191
-2.1914	-0.75006	9.8465
-1.8839	-2.0072	8.981
-2.0604	-1.2158	7.649
-4.3903	-2.6649	7.9825
-3.9989	-2.2132	7.8522
-3.8153	-2.6893	8.7142
-5.1769	-2.2343	7.8655
-5.5118	-1.6815	8.9046
-6.6295	-0.42087	9.5648
-6.6973	-0.61609	9.3472
-7.0004	-0.59304	9.3984
-6.1744	0.93393	9.8654
-6.3841	1.5591	10.049
-7.4139	2.5083	10.356
-7.2787	3.0236	10.617
-8.2202	2.8613	10.471
-8.7522	4.5434	9.5953
-9.236	3.8314	8.4211
-9.4282	3.5573	9.9511
-9.6773	2.4931	11.555
-8.4426	2.2634	10.048
-8.8872	2.1075	10.324
-9.1484	2.5509	10.716
-10.399	1.603	9.9753
-10.907	1.2824	9.9878
-13.936	0.82537	11.23
-15.003	1.7591	11.581
-15.032	1.9416	10.015
-15.116	3.5455	10.114
-15.075	2.8113	10.083
-14.843	3.2377	9.7102
-15.079	5.2614	7.4518
-12.85	5.599	8.4519
-14.514	5.0089	8.1738
-14.091	3.3387	8.6455
-15.304	3.4049	9.2978
-14.977	4.4876	10.304
-15.628	4.7446	9.3595
-16.95	5.6694	9.3596
-17.004	6.5806	9.9542
-16.654	7.8308	10.884
-16.414	7.1405	10.232
-15.222	5.5286	10.208
-17.171	6.5491	11.07
-17.17	6.4783	8.5834
